...ဖြစ်စေ...ဖြစ်စေ	... ဖြစ် စေ... ဖြစ် စေ	... hpji' sei ... hpji' se...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... si...ရိုး..စဉ်	... ရိုး.. စဉ်	jou: ... zi...လို...ငြား	... လို... ငြား	... lou ... njaကကတစ်	က က တစ်	ka. ga- diကကတိုး	က က တိုး	ka. ga- douကကုသန်	က ကု သန်	ka. ku. thaကကုသန်	က ကု သန်	kau' ka- thaကကူရံ	က ကူ ရံ	ka. ku janကကြိုး	က ကြိုး	ka. gyou:ကကြိုးတန်ဆာ	က ကြိုး တန် ဆာ	ka. gyou: da- zaကကြီကကြောင်လုပ်	က ကြီ က ကြောင် လုပ်	ga- gyi ga- gyaun lou'ကကြီး	က ကြီး	ka. gyi:ကကြီးထွန်	က ကြီး ထွန်	ka. gyi: htunကကွက်	က ကွက်	ka. gwe'ကချလာ	က ချ လာ	ka- cha- la-ကချင်	က ချင်	ka- chinကချေသည်	က ချေ သည်	ka. gyei dheကချော်ကချွတ်	က ချော် က ချွတ်	ka- cho ka- chu'ကစဉ့်ကရဲ	က စဉ့် က ရဲ	ga- zin. ga je:ကစဉ့်ကလျား	က စဉ့် က လျား	ga- zin. ga- ja:ကစား	က စား	ga- za:ကစားကွက်	က စား ကွက်	ga- za: gwe'ကစားကွင်း	က စား ကွင်း	ga- za: gwin:ကစားခုန်စား	က စား ခုန် စား	ga- za: khoun za:ကစားစရာ	က စား စ ရာ	ga- za: za- jaကစားဒိုင်	က စား ဒိုင်	ga- za: dainကစားဖော်	က စား ဖော်	ga- za: boကစားဝိုင်း	က စား ဝိုင်း	ga- za: wain:ကစားသမား	က စား သ မား	ga- za: dha- ma:ကစိန်းကဝါး	က စိန်း က ဝါး	ga- zein: ga- wa:ကစိုကရွား	က စို က ရွား	ga- zou ga- jwa:ကစီ	က စီ	ga- ziကစီဓာတ်	က စီ ဓာတ်	ga- zi da'ကစော့ခါး	က စော့ ခါး	ga- zo. ga:ကစော်	က စော်	ga- zoကဆုန်	က ဆုန်	ka- hsounကဆုန်ပေါက်	က ဆုန် ပေါက်	ka- hsoun pau'ကဇာတ်	က ဇာတ်	ka. za'ကည	က ည	ka- nja.ကညင်	က ညင်	ka- njinကညင်ဆီ	က ညင် ဆီ	ka- njin ziကညင်ဆီတိုင်	က ညင် ဆီ တိုင်	ka- njin zi dainကညစ်	က ညစ်	ka- nji'ကညာ	က ညာ	ka- njaကညာစစ်	က ညာ စစ်	ka- nja si'ကညာမြှေး	က ညာ မြှေး	ka- nja mhjei:ကညို့	က ညို့	ka- njou.ကညွတ်	က ညွတ်	ka- nju'ကဏန်း	က ဏန်း	ga- nan:ကဏန်းမြင်း	က ဏန်း မြင်း	ga- nan: mjin:ကဏန်းလက်မ	က ဏန်း လက် မ	ga- nan: le' ma.ကတညုတ	က တ ညု တ	ka- tin nju. ta.ကတင်	က တင်	ka- tinကတင်	က တင်	ka. tinကတည်းက	က တည်း က	ga- de: ga.ကတတ်ငန်း	က တတ် ငန်း	ga- da' ngan:ကတမ်းကရမ်း	က တမ်း က ရမ်း	ga- dan: ga- jan:ကတိ	က တိ	ga- di.ကတိကဝတ်	က တိ က ဝတ်	ga- di. ka- wu'ကတိခံဝန်ချက်	က တိ ခံ ဝန် ချက်	ga- di. khan wun gye'ကတိခံဝန်ချုပ်	က တိ ခံ ဝန် ချုပ်	ga- di. khan wun gyou'ကတိစာချုပ်	က တိ စာ ချုပ်	ga- di. sa gyou'ကတိတည်	က တိ တည်	ga- di. tiကတိထား	က တိ ထား	ga- di. hta:ကတိပေး	က တိ ပေး	ga- di. pei:ကတိပျက်	က တိ ပျက်	ga- di. pje'ကတိပြု	က တိ ပြု	ga- di pju.ကတိဖျက်	က တိ ဖျက်	ga- di. hpje'ကတိသစ္စာပြု	က တိ သစ် စာ ပြု	ga- di. thi' sa pju.ကတိသစ္စာပြုပွဲ	က တိ သစ် စာ ပြု ပွဲ	ga- di. thi' sa pju. bwe:ကတိမ်းကပါးဖြစ်	က တိမ်း က ပါး ဖြစ်	ga- dein: ga- ba: hpji'ကတိမ်းကယိမ်း	က တိမ်း က ယိမ်း	ga- dein: ga- jein:ကတိုက်ကရိုက်	က တိုက် က ရိုက်	ga- dai' ga- jai'ကတိုး	က တိုး	ga- dou:ကတိုးခွာ	က တိုး ခွာ	ga- dou: khwaကတုတ်	က တုတ်	ga- dou'ကတုတ်ကျင်း	က တုတ် ကျင်း	ga- dou' kyin:ကတုန်ကယင်	က တုန် က ယင်	ga- doun ga- jinကတုန်းကတိုက်လုပ်	က တုန်း က တိုက် လုပ်	ga- doun: ga- dai' lou'ကတူး	က တူး	ga- du:ကတောကမျော	က တော က မျော	ga- do: ga- mjo:ကတောက်	က တောက်	ga- dau'ကတောက်ကဆတ်ဖြစ်	က တောက် က ဆတ် ဖြစ်	ga- dau' ga- hsa' hpji'ကတောက်ကတက်ဖြစ်	က တောက် က တက် ဖြစ်	ga- dau' ga- de' hpji'ကတောက်စပ်	က တောက် စပ်	ga- dau' sa'ကတောင်ချောက်ချားဖြစ်	က တောင် ချောက် ချား ဖြစ်	ga- daun chau' cha: hpji'ကတော့	က တော့	ga- do.ကတော့ပုံ	က တော့ ပုံ	ga- do. pounကတော်	က တော်	ga- doကတွတ်	က တွတ်	ga- du'ကတွတ်မုန့်	က တွတ် မုန့်	ga- du' moun.ကထိက	က ထိ က	ka- hti. ka.ကထိန်	က ထိန်	ka- hteinကဒတ်	က ဒတ်	ga- da'ကဒူဥ	က ဒူ ဥ	ka- du u.ကနကုတ်	က န ကုတ်	ka- na- gou'ကနခို	က န ခို	ka- na- khouကနစို	က န စို	ka- na- zou
ကနစိုး	က န စိုး	ka- na- zou:
အိမ်ထောင်သည်	အိမ် ထောင် သည်	ein daun dhe
အိမ်ထောင်သားမွေး	အိမ် ထောင် သား မွေး	ein daun tha: mwei:
အိမ်ထောင်ဦး	အိမ် ထောင် ဦး	ein dau nu:
အိမ်နိမ့်	အိမ် နိမ့်	ein nein.
အိမ်နီးချင်း	အိမ် နီး ချင်း	ein ni: gyin:
အိမ်နီးနားချင်း	အိမ် နီး နား ချင်း	ein ni: na: gyin:
အိမ်ပစ်ရာပစ်	အိမ် ပစ် ရာ ပစ်	ein bji' ja bji'
အိမ်ပိုင်ရာပိုင်	အိမ် ပိုင် ရာ ပိုင်	ein bain ja bain
အိမ်ပုဆစ်တုပ်	အိမ် ပု ဆစ် တုပ်	ein pa- hsi' tou'
အိမ်ပေါက်စေ့	အိမ် ပေါက် စေ့	ein bau' sei.
အိမ်ပျော့	အိမ် ပျော့	ein bjo.
အိမ်ပြေး	အိမ် ပြေး	ein bjei:
အိမ်ဖော်	အိမ် ဖော်	ein bo
အိမ်ဖွဲ့	အိမ် ဖွဲ့	ein hpwe.
အိမ်မ	အိမ် မ	ein ma.
အိမ်မာ	အိမ် မာ	ein ma
အိမ်မဲ့ရာမဲ့	အိမ် မဲ့ ရာ မဲ့	ein me. ja me.
အိမ်မြှောင်	အိမ် မြှောင်	ein mhjaun
အိမ်မှုကိစ္စ	အိမ် မှု ကိစ် စ	ein mhu. kei' sa.
အိမ်ရာ	အိမ် ရာ	ein ja
အိမ်ရာချ	အိမ် ရာ ချ	ein ja cha.
အိမ်ရာထောင်	အိမ် ရာ ထောင်	ein ja htaun
အိမ်ရာမှား	အိမ် ရာ မှား	ein ja mha:
အိမ်ရှင်	အိမ် ရှင်	ein shin
အိမ်ရှင်မ	အိမ် ရှင် မ	ein shin ma.
အိမ်ရှေ့မင်း	အိမ် ရှေ့ မင်း	ein shei. min:
အိမ်ရှေ့မိဖုရား	အိမ် ရှေ့ မိ ဖု ရား	ein shei. mi ba- ja:
အိမ်လည်	အိမ် လည်	ein le
အိမ်သည်	အိမ် သည်	ein dhe
အိမ်သာ	အိမ် သာ	ein dha
အိမ်သား	အိမ် သား	ein dha:
အိမ်သုံးစရိတ်	အိမ် သုံး စ ရိတ်	ein dhoun: za- jei'
အိမ်သုံးဆေး	အိမ် သုံး ဆေး	ein dhoun: hsei:
အိမ်သူ	အိမ် သူ	ein dhu
အိမ်သူအိမ်သား	အိမ် သူ အိမ် သား	ein dhu ein dha:
အိမ်ဦးခန်း	အိမ် ဦး ခန်း	ei nu: gan:
အိမ်ဦးနတ်	အိမ် ဦး နတ်	ei nu: na'
အိမ်းအည်းမလုပ်	အိမ်း အည်း မ လုပ်	ein: e: ma- lou'
အိမ်းအည်းမလုပ်	အိမ်း အည်း မ လုပ်	ein: i: ma- lou'
အိုကြီးအိုမ	အို ကြီး အို မ	ou gyi: ou ma.
အိုစနာ	အို စ နာ	ou za- na
အိုစာ	အို စာ	ou sa
အိုစာ	အို စာ	ou za
အိုစာနာစာ	အို စာ နာ စာ	ou za na za
အိုစာမင်းစာ	အို စာ မင်း စာ	ou za min: za
အိုဇာတာ	အို ဇာ တာ	ou za- ta
အိုဇုန်း	အို ဇုန်း	ou zoun:
အိုနာကျိုးကန်း	အို နာ ကျိုး ကန်း	ou na kyou: gan:
အိုနာစာ	အို နာ စာ	ou na za
အိုနာစာရန်ပုံငွေ	အို နာ စာ ရန် ပုံ ငွေ	ou na za jan boun ngwei
အိုဗာစီယာ	အို ဗာ စီ ယာ	ou ba si ja
အိုဗာတိုင်	အို ဗာ တိုင်	ou ba tain
အိုဗာဟော	အို ဗာ ဟော	ou ba ho:
အိုမင်း	အို မင်း	ou min:
အိုမင်းမစွမ်း	အို မင်း မ စွမ်း	ou min: ma- sun:
အိုမင်းမစွမ်း	အို မင်း မ စွမ်း	ou min: ma- swan:
အိုမင်းရင့်ရော်	အို မင်း ရင့် ရော်	ou min: jin. jo
အိုလံပစ်	အို လံ ပစ်	ou lan pi'
အိုအေစစ်	အို အေ စစ်	ou ei si'
အိုက်စကရင်	အိုက် စ က ရင်	ai' sa- ka- rin
အိုက်စပ်စပ်	အိုက် စပ် စပ်	ai' sa' sa'
အိုက်တင်	အိုက် တင်	ai' tin
အိုင်ကျင်းဖွဲ့	အိုင် ကျင်း ဖွဲ့	ain kyin: hpwe.
အိုင်ချင်း	အိုင် ချင်း	ain gyin:
အိုင်ထွန်း	အိုင် ထွန်း	ain htun:
အိုင်အိုဒင်း	အိုင် အို ဒင်း	ain ou din:
အိုင်အိုင်	အိုင် အိုင်	ain ain
အိုင်းကျ	အိုင်း ကျ	ain: kya.
အိုင်းနာ	အိုင်း နာ	ain: na
အိုင်းအမာ	အိုင်း အ မာ	ain: a- ma
အိုးကင်း	အိုး ကင်း	ou: gin:
အိုးကင်းကပ်	အိုး ကင်း ကပ်	ou: gin: ga'
အိုးကင်းပူတိုက်	အိုး ကင်း ပူ တိုက်	ou: gin: bu tai'
အိုးကင်းပဲ့	အိုး ကင်း ပဲ့	ou: gin: be.
အိုးကပ်	အိုး ကပ်	ou: ga'
အိုးကြမ်း	အိုး ကြမ်း	ou: gyan:
အိုးခြမ်းကွဲ	အိုး ခြမ်း ကွဲ	ou: gyan: gwe:
အိုးခြေအိမ်ခြေ	အိုး ခြေ အိမ် ခြေ	ou: gyei ein gyei
အိုးခွက်	အိုး ခွက်	ou: khwe'
အိုးခွဲ	အိုး ခွဲ	ou: khwe:
အိုးခွဲစား	အိုး ခွဲ စား	ou: khwe: sa.
အိုးစရည်း	အိုး စ ရည်း	ou: za- ji:
အိုးစည်	အိုး စည်	ou: zi
အိုးစည်ဗုံမောင်း	အိုး စည် ဗုံ မောင်း	ou: zi boun maun:
အိုးစား	အိုး စား	ou: za:
အိုးစားကွဲ	အိုး စား ကွဲ	ou: za: kwe:
အိုးစားခွဲ	အိုး စား ခွဲ	ou: za: khwe:
အိုးစိမ်	အိုး စိမ်	ou: zein
အိုးစောင်ခြမ်း	အိုး စောင် ခြမ်း	ou: zaun gyan:
အိုးစွပ်ခွက်စွပ်စား	အိုး စွပ် ခွက် စွပ် စား	ou: zu' khwe' su' sa:
အိုးစွပ်စား	အိုး စွပ် စား	ou: zu' sa:
အိုးတည်နစ်	အိုး တည် နစ်	ou: de ni'
အိုးတန်	အိုး တန်	ou: dan
အိုးတန်ဆန်ခတ်	အိုး တန် ဆန် ခတ်	ou: dan hsa nga'
အိုးတိုးအတ	အိုး တိုး အ တ	ou: dou: a. ta.
အိုးတိုးအင့်တင့်	အိုး တိုး အင့် တင့်	ou: dou: in. din.
အိုးတိုးအမ်းတမ်း	အိုး တိုး အမ်း တမ်း	ou: dou: an: dan:
အိုးတုတ်	အိုး တုတ်	ou: dou'
အိုးထိန်းစက်	အိုး ထိန်း စက်	ou: dein: ze'
အိုးထိန်းသည်	အိုး ထိန်း သည်	ou: dein: dhe
အိုးနင်းခွက်နင်း	အိုး နင်း ခွက် နင်း	ou: nin: khwe' nin:
အိုးနားတို	အိုး နား တို	ou: na- dou
အိုးပစ်မကွဲ	အိုး ပစ် မ ကွဲ	o: pji' ma- kwe:
အိုးပစ်အိမ်ပစ်	အိုး ပစ် အိမ် ပစ်	ou: bji' ein bji'
အိုးပုတ်	အိုး ပုတ်	ou: bou'
အိုးပျက်အိမ်ပျက်	အိုး ပျက် အိမ် ပျက်	ou: bje' ein bje'
အိုးပျစ်	အိုး ပျစ်	ou: bji'
အိုးမစပ်ခွက်မစပ်	အိုး မ စပ် ခွက် မ စပ်	ou: ma- sa' khwe' ma- sa'
အိုးမဲ	အိုး မဲ	ou: me:
အိုးမဲသုတ်	အိုး မဲ သုတ်	ou: me: thou'
အိုးဝေ	အိုး ဝေ	ou: wei
အိုးသစ်အိမ်သစ်	အိုး သစ် အိမ် သစ်	ou: dhi' ein dhi'
အိုးသူကြီး	အိုး သူ ကြီး	ou: dha- gyi:
အိုးအင်ခွက်ယောက်	အိုး အင် ခွက် ယောက်	ou: in khwe' jau'
အိုးအိမ်	အိုး အိမ်	ou: ein
အိုးအိမ်ထူ	အိုး အိမ် ထူ	ou: ein htu
အီကြာကွေး	အီ ကြာ ကွေး	i kya kwei:
အီကွေတာ	အီ ကွေ တာ	i kwei ta
အီလက်ထရွန်	အီ လက် ထ ရွန်	i le' hta- run
အီလက်ထရွန်နစ်	အီ လက် ထ ရွန် နစ်	i le' hta- run ni'
အီလည်လည်	အီ လည် လည်	i le le
အီလေးဆွဲ	အီ လေး ဆွဲ	i lei: hswe:
အီလေးအာလေး	အီ လေး အာ လေး	i lei: a lei:
အီသာ	အီ သာ	i tha
အီးပါ	အီး ပါ	i: pa
အီးပေါက်	အီး ပေါက်	i: pau'
အီးရောအီးရော	အီး ရော အီး ရော	i: jo: i: jo:
အုတ်ကျင်း	အုတ် ကျင်း	ou' kyin:
အုတ်ကျိုးအုတ်ပဲ့	အုတ် ကျိုး အုတ် ပဲ့	ou' kyou: ou' pe.
အုတ်ကြားမြက်ပေါက်	အုတ် ကြား မြက် ပေါက်	ou' kya: mje' pau'
အုတ်ကြွပ်	အုတ် ကြွပ်	ou' kyu'
အုတ်ခုံ	အုတ် ခုံ	ou' khoun
အုတ်ခဲ	အုတ် ခဲ	ou' khe:
အုတ်ခွက်	အုတ် ခွက်	ou' khwe'
အုတ်ခွက်ဘုရား	အုတ် ခွက် ဘု ရား	ou' khwe' hpa- ja:
အုတ်ဂူ	အုတ် ဂူ	ou' gu
အုတ်တိုက်	အုတ် တိုက်	ou' tai'
အုတ်ထွေ	အုတ် ထွေ	ou' htwei
အုတ်နီခဲ	အုတ် နီ ခဲ	ou' ni ge:
အုတ်ပူထိုး	အုတ် ပူ ထိုး	ou' pu htou:
အုတ်ဖိနပ်	အုတ် ဖိ နပ်	ou' hpa- na'
အုတ်ဖို	အုတ် ဖို	ou' hpou
အုတ်မြစ်	အုတ် မြစ်	ou' mji'
အုတ်မြစ်ချ	အုတ် မြစ် ချ	ou' mji' cha.
အုတ်မြို့	အုတ် မြို့	ou' mjou.
အုတ်ရိုး	အုတ် ရိုး	ou' jou:
အုတ်ရှပ်ခဲ	အုတ် ရှပ် ခဲ	ou' sha' khe:
အုတ်သရိုး	အုတ် သ ရိုး	ou' tha- jou:
အုတ်အာ	အုတ် အာ	ou' a
အုတ်အာသရဲ	အုတ် အာ သ ရဲ	ou' a tha- je:
အုတ်အာသောင်းသဲ	အုတ် အာ သောင်း သဲ	ou' a thaun: dhe:
အုတ်အုတ်ကျက်ကျက်	အုတ် အုတ် ကျက် ကျက်	ou' ou' kye' kye'
အုတ်အုတ်သဲသဲ	အုတ် အုတ် သဲ သဲ	ou' ou' the: dhe:
အုတ်အော်သောင်းတင်း	အုတ် အော် သောင်း တင်း	ou' o thaun: din:
အုတ်အော်သောင်းနင်း	အုတ် အော် သောင်း နင်း	ou' o thaun: nin:
အုန်အောက်	အုန် အောက်	ou nau'
အုန်းကဏန်း	အုန်း က ဏန်း	oun: ga- nan:
အုန်းခနဲ	အုန်း ခ နဲ	oun: ga- ne:
အုန်းခုတ်ပွဲ	အုန်း ခုတ် ပွဲ	oun: khou' pwe:
အုန်းခြစ်	အုန်း ခြစ်	oun: gyi'
အုန်းခွံ	အုန်း ခွံ	oun: gun
အုန်းခွံရောင်	အုန်း ခွံ ရောင်	oun: gun jaun
အုန်းငှက်ပျော	အုန်း ငှက် ပျော	oun: ngha- bjo:
အုန်းဆီ	အုန်း ဆီ	oun: zi
အုန်းဆံ	အုန်း ဆံ	oun: zan
အုန်းဆံကြိုး	အုန်း ဆံ ကြိုး	oun: zan gyou:
အုန်းဆံဖတ်	အုန်း ဆံ ဖတ်	oun: zan ba'
အုန်းတံမြက်စည်း	အုန်း တံ မြက် စည်း	oun: da- bje' si:
အုန်းထမင်း	အုန်း ထ မင်း	oun: da- min:
အုန်းထန်းလျက်	အုန်း ထန်း လျက်	oun: hta- nje'
အုန်းထောပတ်	အုန်း ထော ပတ်	oun: hto: ba'
အုန်းနို့	အုန်း နို့	oun: nou.
အုန်းနို့ခေါက်ဆွဲ	အုန်း နို့ ခေါက် ဆွဲ	oun: nou. khau' hswe
အုန်းနို့ထမင်း	အုန်း နို့ ထ မင်း	oun: nou. hta- min:
အုန်းပနီ	အုန်း ပ နီ	oun: ba- ni
အုန်းပင်စိုက်	အုန်း ပင် စိုက်	oun: bin sai'
အုန်းပိုး	အုန်း ပိုး	oun: bou:
အုန်းဖွဲ	အုန်း ဖွဲ	oun: bwe:
အုန်းမောင်း	အုန်း မောင်း	oun: maun:
အုန်းမှန်ကူ	အုန်း မှန် ကူ	oun: mhan gu
အုန်းမှုတ်	အုန်း မှုတ်	oun: mhou'
အုန်းမှုတ်ခွက်	အုန်း မှုတ် ခွက်	oun: mhou' khwe'
အုန်းမှုတ်တယော	အုန်း မှုတ် တ ယော	oun: mhou' ta- jo:
အုန်းလက်	အုန်း လက်	oun: le'
အုန်းလက်ချ	အုန်း လက် ချ	oun: le' cha.
အုန်းလေးဖက်ခေါင်	အုန်း လေး ဖက် ခေါင်	oun: lei: be' khaun
အုန်းလေးဖက်ခေါင်မိုး	အုန်း လေး ဖက် ခေါင် မိုး	oun: lei: be' khaun mou:
အုန်းသီးဆန်	အုန်း သီး ဆန်	oun: dhi: zan
အုန်းသီးမှုန့်	အုန်း သီး မှုန့်	oun: dhi: mhoun.
အုန်းအုန်းကျက်ကျက်	အုန်း အုန်း ကျက် ကျက်	oun: oun: kye' kye'
အုန်းအုန်းကျွက်ကျွက်	အုန်း အုန်း ကျွက် ကျွက်	oun: oun: kywe' kywe'
အုန်းဧကမုခ်	အုန်း ဧ က မုခ်	oun: ei ga- mou'
အုပ်ချုပ်	အုပ် ချုပ်	ou' chou'
အုပ်စား	အုပ် စား	ou' sa:
အုပ်စိုး	အုပ် စိုး	ou' sou:
အုပ်စီး	အုပ် စီး	ou' si:
အုပ်စီးနွား	အုပ် စီး နွား	ou' si: nwa:
အုပ်စီးမပျက်	အုပ် စီး မ ပျက်	ou' si: ma- pje'
အုပ်စု	အုပ် စု	ou' su.
အုပ်ဆိုင်း	အုပ် ဆိုင်း	ou' hsain:
အုပ်ဆောင်း	အုပ် ဆောင်း	ou' hsaun:
အုပ်ဆေး	အုပ် ဆေး	ou' hsei:
အုပ်ထိန်း	အုပ် ထိန်း	ou' htein:
အုပ်ထိန်းသူ	အုပ် ထိန်း သူ	ou' htein: dhu
အုပ်ထွေ	အုပ် ထွေ	ou' htwei
အုပ်ဒိုင်	အုပ် ဒိုင်	ou' dain
အုပ်ပေါင်း	အုပ် ပေါင်း	ou' paun:
အုပ်မိ	အုပ် မိ	ou' mi.
အုပ်မှည့်	အုပ် မှည့်	ou' mhe.
အုပ်အုပ်ဆိုင်းဆိုင်း	အုပ် အုပ် ဆိုင်း ဆိုင်း	ou' ou' hsain: zain:
အုံကြွ	အုံ ကြွ	oun kywa.
အုံတုံ	အုံ တုံ	oun doun
အုံပွင့်	အုံ ပွင့်	oun pwin.
အုံ့ဆိုင်း	အုံ့ ဆိုင်း	oun. hsain:
အုံ့ပုန်း	အုံ့ ပုန်း	oun. boun:
အုံ့ပျ	အုံ့ ပျ	oun. pja.
အုံ့မှိုင်း	အုံ့ မှိုင်း	oun. mhain:
အုံးတား	အုံး တား	oun: da:
အုံးလွဲ	အုံး လွဲ	oun: lwe:
အူကျ	အူ ကျ	u kya.
အူကြမ်း	အူ ကြမ်း	u gyan:
အူကြောင်ကြောင်ဖြစ်	အူ ကြောင် ကြောင် ဖြစ်	u kyaun gyaun hpji'
အူကြောင်း	အူ ကြောင်း	u gyaun:
အူချဉ်	အူ ချဉ်	u gyin
အူချာပေါက်	အူ ချာ ပေါက်	u gya pau'
အူချာလည်	အူ ချာ လည်	u gya le
အူချာလိုက်	အူ ချာ လိုက်	u gya lai'
အူစုံသည်းစုံ	အူ စုံ သည်း စုံ	u zoun the: zoun
အူတကြုတ်ကြုတ်ဖြစ်	အူ တ ကြုတ် ကြုတ် ဖြစ်	u da- gyou' gyou' hpji'
အူတက်	အူ တက်	u te'
အူတို	အူ တို	u tou
အူတိုင်	အူ တိုင်	u dain
အူတုန်သည်းတုန်ဖြစ်	အူ တုန် သည်း တုန် ဖြစ်	u doun the: doun hpji'
အူတူတူဖြစ်	အူ တူ တူ ဖြစ်	u tu du hpji'
အူတွင်းချေးခါး	အူ တွင်း ချေး ခါး	u dwin: chi: ga:
အူနာ	အူ နာ	u na
အူနီ	အူ နီ	u ni
အူနု	အူ နု	u nu
အူနှိပ်	အူ နှိပ်	u nhei'
အူပေါက်	အူ ပေါက်	u pau'
အူမကြီး	အူ မ ကြီး	u ma. gyi:
အူမချေးခါး	အူ မ ချေး ခါး	u ma. chi: ga:
အူမတောင့်	အူ မ တောင့်	u ma. taun.
အူမြူး	အူ မြူး	u mju:
အူယား	အူ ယား	u ja:
အူယားဖားယား	အူ ယား ဖား ယား	u ja: hpa: ja:
အူရဒူ	အူ ရ ဒူ	u ra- du
အူရိုင်း	အူ ရိုင်း	u jain:
အူရောင်ငန်းဖျား	အူ ရောင် ငန်း ဖျား	u jaun ngan: bja:
အူရွှင်	အူ ရွှင်	u shwin
အူလည်လည်ဖြစ်	အူ လည် လည် ဖြစ်	u le le hpji'
အူလန်သည်းလန်	အူ လန် သည်း လန်	u lan the: lan
အူလျှောက်နာ	အူ လျှောက် နာ	u shau' na
အူလျှောက်ပိုး	အူ လျှောက် ပိုး	u shau' pou:
အူလှိုက်သည်းလှိုက်	အူ လှိုက် သည်း လှိုက်	u lhai' the: lhai'
အူဝဲ	အူ ဝဲ	u we:
အူသိမ်	အူ သိမ်	u dhein
အူသိမ်အူမ	အူ သိမ် အူ မ	u dhei nu ma.
အူဟောင်းလောင်းဖြစ်	အူ ဟောင်း လောင်း ဖြစ်	u haun: laun: hpji'
အူအတက်	အူ အ တက်	u a- te'
အူအတက်ပေါက်	အူ အ တက် ပေါက်	u a- te' pau'
အူအူသောင်းသောင်း	အူ အူ သောင်း သောင်း	u u thaun: dhaun:
အူအူသဲသဲ	အူ အူ သဲ သဲ	u u the: dhe:
အေဒီ	အေ ဒီ	ei di
အောချ	အော ချ	o: cha.
အောတိုက်	အော တိုက်	o: tai'
အောက်ကလိအာ	အောက် က လိ အာ	au' ka- li. a
အောက်ကျ	အောက် ကျ	au' kya.
အောက်ကျခံ	အောက် ကျ ခံ	au' kya. khan
အောက်ကျနောက်ကျ	အောက် ကျ နောက် ကျ	au' kya. nau' kya.
အောက်ကျင်း	အောက် ကျင်း	au' kyin:
အောက်ကျို့	အောက် ကျို့	au' kyou.
အောက်ခင်း	အောက် ခင်း	au' khin:
အောက်ခံ	အောက် ခံ	au' khan
အောက်ခံပင်	အောက် ခံ ပင်	au' khan bin
အောက်ချင်း	အောက် ချင်း	au' chin:
အောက်ချင်းစာ	အောက် ချင်း စာ	au' chin: za
အောက်ချင်းစာနီ	အောက် ချင်း စာ နီ	au' chin: za ni
အောက်ခြေ	အောက် ခြေ	au' chei
အောက်ခြေမှတ်ချက်	အောက် ခြေ မှတ် ချက်	au' chei mha' che'
အောက်ခြေယိုင်	အောက် ခြေ ယိုင်	au' chei jain
အောက်ခြေလွတ်	အောက် ခြေ လွတ်	au' chei lu'
အောက်ခြေသိမ်းလုပ်	အောက် ခြေ သိမ်း လုပ်	au' chei dhein: lou'
အောက်စော်နံ	အောက် စော် နံ	au' so nan
အောက်ဆိုက်	အောက် ဆိုက်	au' hsai'
အောက်ဆီဂျင်	အောက် ဆီ ဂျင်	au' hsi gyin
အောက်ဆွယ်	အောက် ဆွယ်	au' hswe:
အောက်ဆွဲ	အောက် ဆွဲ	au' hswe:
အောက်တန်း	အောက် တန်း	au' tan:
အောက်တန်းကျ	အောက် တန်း ကျ	au' tan: kya.
အောက်တန်းစား	အောက် တန်း စား	au' tan: za:
အောက်တိုဘာ	အောက် တို ဘာ	au' tou ba
အောက်တောကျိုက်	အောက် တော ကျိုက်	au' to: kyai'
အောက်ထစ်	အောက် ထစ်	au' hti'
အောက်ဒိုး	အောက် ဒိုး	au' dou:
အောက်နှိုက်	အောက် နှိုက်	au' hnai'
အောက်ပိုင်းသေရောဂါ	အောက် ပိုင်း သေ ရော ဂါ	au' pain: dhei jo: ga
အောက်ပိုးကျိုက်	အောက် ပိုး ကျိုက်	au' pou: kyai'
အောက်ပြည်	အောက် ပြည်	au' pjei
အောက်ပြည်	အောက် ပြည်	au' pji
အောက်ပြန်	အောက် ပြန်	au' pjan
အောက်ပွဲ	အောက် ပွဲ	au' pwe:
အောက်မား	အောက် မား	au' ma:
အောက်မေ့	အောက် မေ့	au' mei.
အောက်မြစ်	အောက် မြစ်	au' mji'
အောက်ရေပြန်	အောက် ရေ ပြန်	au' jei pjan
အောက်ရေလှန်	အောက် ရေ လှန်	au' jei lhan
အောက်ရှင်း	အောက် ရှင်း	au' shin:
အောက်လက်ငယ်သား	အောက် လက် ငယ် သား	au' le' nge dha:
အောက်လင်းဓာတ်မီး	အောက် လင်း ဓာတ် မီး	au' lin: da' mi:
အောက်လမ်း	အောက် လမ်း	au' lan:
အောက်လမ်းပညာ	အောက် လမ်း ပ ညာ	au' lan: pjin nja
အောက်လူ	အောက် လူ	au' lu
အောက်လွှတ်တော်	အောက် လွှတ် တော်	au' lhu' to
အောက်ဝါ	အောက် ဝါ	au' wa
အောက်သက်ကျေ	အောက် သက် ကျေ	au' the' kyei
အောက်သား	အောက် သား	au' tha:
အောက်သိုးသိုး	အောက် သိုး သိုး	au' thou: dhou:
အောက်သံ	အောက် သံ	au' than
အောက်အိမ်	အောက် အိမ်	au' ein
အောင့်ခံ	အောင့် ခံ	aun. khan
အောင့်သက်သက်	အောင့် သက် သက်	aun. the' the'
အောင့်အည်း	အောင့် အည်း	aun. i:
အောင်ချက်	အောင် ချက်	aun gye'
အောင်ချည်	အောင် ချည်	aun chi
အောင်ခြင်းရှစ်ပါး	အောင် ခြင်း ရှစ် ပါး	aun gyin shi' pa:
အောင်စ	အောင် စ	aun sa.
